e0,e1,e2,e4,e5,e6,e9,e10,e11,e15,e18,e21,e22,e23
471,84.0,72.0,90.0,72.0,83.0,96.0,94.0,58.0,83.0,68.0,28.0,86.0,87
472,93.0,92.0,92.0,91.0,92.0,68.0,79.0,82.0,92.0,90.0,88.0,89.0,91
473,100.0,100.0,74.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
474,52.0,47.0,42.0,37.0,34.0,36.0,35.0,32.0,44.0,52.0,48.0,33.0,34
475,61.0,63.0,65.0,63.0,55.0,81.0,81.0,71.0,70.0,71.0,68.0,72.0,64
476,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
477,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
478,100.0,100.0,100.0,87.0,71.0,100.0,59.0,87.0,100.0,100.0,64.0,84.0,91
479,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,90.0,88.0,100
481,98.0,96.0,95.0,77.0,98.0,99.0,99.0,99.0,85.0,94.0,94.0,71.0,99
482,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,95
483,93.0,86.0,94.0,80.0,75.0,100.0,89.0,92.0,75.0,79.0,50.0,71.0,96
484,100.0,100.0,100.0,90.0,95.0,100.0,100.0,100.0,79.0,100.0,96.0,100.0,100
485,100.0,100.0,100.0,83.0,83.0,100.0,100.0,100.0,100.0,93.0,70.0,100.0,83
486,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.0,94.0,100.0,37.0,89
487,97.0,79.0,68.0,83.0,63.0,81.0,83.0,62.0,85.0,90.0,71.0,68.0,14
488,50.0,31.0,32.0,100.0,100.0,87.0,87.0,99.0,100.0,100.0,100.0,100.0,21
489,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
490,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,88.0,99.0,99
491,100.0,100.0,100.0,100.0,100.0,100.0,97.0,98.0,51.0,98.0,100.0,27.0,80
492,95.0,92.0,92.0,92.0,89.0,96.0,92.0,95.0,89.0,96.0,93.0,98.0,98
493,93.0,100.0,100.0,89.0,88.0,64.0,60.0,84.0,64.0,86.0,93.0,67.0,75
494,50.0,52.0,55.0,51.0,48.0,67.0,61.0,76.0,55.0,58.0,47.0,50.0,42
495,96.0,81.0,81.0,66.0,69.0,100.0,98.0,100.0,72.0,84.0,61.0,33.0,47
497,95.0,96.0,100.0,83.0,89.0,97.0,100.0,97.0,72.0,58.0,93.0,73.0,84
498,100.0,100.0,100.0,65.0,100.0,86.0,100.0,100.0,83.0,84.0,77.0,88.0,100
499,49.0,100.0,63.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,78.0,100
500,97.0,95.0,94.0,99.0,97.0,97.0,93.0,96.0,99.0,100.0,100.0,82.0,98
501,86.0,90.0,94.0,93.0,81.0,88.0,88.0,88.0,86.0,87.0,85.0,79.0,91
502,73.0,74.0,75.0,60.0,73.0,88.0,86.0,81.0,77.0,72.0,66.0,68.0,57
